run,R,t_to_thr_base,t_recover,residual_base,residual,domain
191,,0.0,0.0,4.607450236110146,4.607450236110146,spacecraft
192,,0.0,0.0,3.677262438300651,3.677262438300651,spacecraft
193,,0.0,0.0,4.478688969407927,4.478688969407927,spacecraft
194,,0.0,0.0,3.650478361659602,3.650478361659602,spacecraft
195,,0.0,0.0,4.351869098399508,4.351869098399508,spacecraft
196,2.997602166487923e-15,0.0,0.0,5.075234637988607,5.044845225601395,spacecraft
197,,0.0,0.0,3.6001924620988937,3.6001924620988937,spacecraft
198,2.997602166487923e-15,0.0,0.0,4.711388546877487,4.708377094978114,spacecraft
199,,0.0,0.0,4.029517192846148,4.029517192846148,spacecraft
200,,0.0,0.0,3.8112039830189457,3.8112039830189457,spacecraft
201,,0.0,0.0,4.532541998771337,4.532541998771337,spacecraft
202,,0.0,0.0,4.520508655182213,4.520508655182213,spacecraft
203,2.55351295663786e-15,0.0,0.0,4.929861773725359,4.911867520301954,spacecraft
204,3.386180225106728e-15,0.0,0.0,5.115425768478609,5.074161903892037,spacecraft
205,,0.0,0.0,4.626202551857324,4.626202551857324,spacecraft
206,,0.0,0.0,4.62023997314755,4.62023997314755,spacecraft
207,,0.0,0.0,4.279955062980682,4.279955062980682,spacecraft
208,3.275157922644212e-15,0.0,0.0,4.885860451502627,4.872580621832809,spacecraft
209,,0.0,0.0,4.658279814931753,4.658279814931753,spacecraft
210,,0.0,0.0,3.8814034860338977,3.8814034860338977,spacecraft
211,,0.0,0.0,4.284282217658076,4.284282217658076,spacecraft
212,,0.0,0.0,4.259796978734539,4.259796978734539,spacecraft
213,,0.0,0.0,4.5679236539091645,4.5679236539091645,spacecraft
214,,0.0,0.0,4.275933888226998,4.275933888226998,spacecraft
215,,0.0,0.0,4.467471009532835,4.467471009532835,spacecraft
216,5.218048215738236e-15,0.0,0.0,4.980801517618345,4.951713697803392,spacecraft
217,3.275157922644212e-15,0.0,0.0,4.925233085685267,4.907634451102065,spacecraft
218,,0.0,0.0,4.17827235525914,4.17827235525914,spacecraft
219,2.55351295663786e-15,0.0,0.0,4.755518509618234,4.752529062901377,spacecraft
220,2.664535259100376e-15,0.0,0.0,4.798891210462181,4.792395690396824,spacecraft
221,,0.0,0.0,4.12719808246927,4.12719808246927,spacecraft
222,,0.0,0.0,4.280695752731514,4.280695752731514,spacecraft
223,,0.0,0.0,4.319666701222142,4.319666701222142,spacecraft
224,,0.0,0.0,4.577141047124829,4.577141047124829,spacecraft
225,,0.0,0.0,4.394673625223827,4.394673625223827,spacecraft
226,,0.0,0.0,3.741769260919526,3.741769260919526,spacecraft
227,,0.0,0.0,4.1507651893953765,4.1507651893953765,spacecraft
228,3.219646771412954e-15,0.0,0.0,5.055958696576897,5.0239897845268935,spacecraft
229,2.886579864025407e-15,0.0,0.0,4.7411742485915,4.734766606466659,spacecraft
230,,0.0,0.0,4.177953097389984,4.177953097389984,spacecraft
231,,0.0,0.0,3.319869742304084,3.319869742304084,spacecraft
232,2.7755575615628917e-15,0.0,0.0,5.010020831725547,4.98675735720697,spacecraft
233,2.886579864025407e-15,0.0,0.0,4.871520133260515,4.856285544684789,spacecraft
234,,0.0,0.0,4.288887106432557,4.288887106432557,spacecraft
235,,0.0,0.0,4.284398389180777,4.284398389180777,spacecraft
236,,0.0,0.0,3.665923047276072,3.665923047276072,spacecraft
237,2.55351295663786e-15,0.0,0.0,4.86096095548823,4.848700245930642,spacecraft
238,,0.0,0.0,4.643659681095333,4.643659681095333,spacecraft
239,,0.0,0.0,4.26280774857532,4.26280774857532,spacecraft
240,2.7755575615628917e-15,0.0,0.0,5.040523826188816,5.016401228870183,spacecraft
241,,0.0,0.0,4.437624178110442,4.437624178110442,spacecraft
242,2.664535259100376e-15,0.0,0.0,4.799260955139486,4.79091121420406,spacecraft
243,,0.0,0.0,4.500659293716931,4.500659293716931,spacecraft
244,2.4424906541753444e-15,0.0,0.0,4.829517916151989,4.821327041713236,spacecraft
245,,0.0,0.0,4.537240806765902,4.537240806765902,spacecraft
246,,0.0,0.0,4.186704892038561,4.186704892038561,spacecraft
247,,0.0,0.0,4.163145803950856,4.163145803950856,spacecraft
248,,0.0,0.0,4.1062471351591965,4.1062471351591965,spacecraft
249,,0.0,0.0,3.958835752159888,3.958835752159888,spacecraft
250,,0.0,0.0,3.7287947217756,3.7287947217756,spacecraft
251,2.7755575615628917e-15,0.0,0.0,4.728089399192632,4.722059866111281,spacecraft
252,,0.0,0.0,4.076003639095334,4.076003639095334,spacecraft
253,2.4424906541753444e-15,0.0,0.0,4.806518370916574,4.799474973303409,spacecraft
254,,0.0,0.0,4.316903758657092,4.316903758657092,spacecraft
255,,0.0,0.0,3.6533192859494057,3.6533192859494057,spacecraft
256,,0.0,0.0,4.047266203069393,4.047266203069393,spacecraft
257,,0.0,0.0,4.066920132400313,4.066920132400313,spacecraft
258,,0.0,0.0,4.613709421511395,4.613709421511395,spacecraft
259,,0.0,0.0,3.716523048414619,3.716523048414619,spacecraft
260,,0.0,0.0,4.569092305723294,4.569092305723294,spacecraft
261,,0.0,0.0,4.436511390538347,4.436511390538347,spacecraft
262,2.7755575615628917e-15,0.0,0.0,4.956114523108145,4.938406460661185,spacecraft
263,,0.0,0.0,3.754934868059564,3.754934868059564,spacecraft
264,,0.0,0.0,3.8470435334024207,3.8470435334024207,spacecraft
265,,0.0,0.0,4.495811950123059,4.495811950123059,spacecraft
266,,0.0,0.0,4.249750246161955,4.249750246161955,spacecraft
267,,0.0,0.0,4.375140863348528,4.375140863348528,spacecraft
268,,0.0,0.0,4.373305564685814,4.373305564685814,spacecraft
269,,0.0,0.0,4.2949339424737705,4.2949339424737705,spacecraft
270,,0.0,0.0,4.224679505316457,4.224679505316457,spacecraft
271,,0.0,0.0,4.471949788680111,4.471949788680111,spacecraft
272,,0.0,0.0,4.434004980500021,4.434004980500021,spacecraft
273,,0.0,0.0,3.749375942603802,3.749375942603802,spacecraft
274,,0.0,0.0,4.42025078197396,4.42025078197396,spacecraft
275,3.3306690738754696e-15,0.0,0.0,4.980398965403136,4.958855833236506,spacecraft
276,,0.0,0.0,3.952327328075275,3.952327328075275,spacecraft
277,,0.0,0.0,4.48905895347727,4.48905895347727,spacecraft
278,,0.0,0.0,4.05276720395534,4.05276720395534,spacecraft
279,3.275157922644212e-15,0.0,0.0,4.972859124371713,4.9527313214178585,spacecraft
280,2.4424906541753444e-15,0.0,0.0,4.832119991631219,4.825467511864189,spacecraft
281,,0.0,0.0,4.2363582601206256,4.2363582601206256,spacecraft
282,4.496403249731884e-15,0.0,0.0,5.363827105753008,5.284150695474303,spacecraft
283,,0.0,0.0,4.28776826481734,4.28776826481734,spacecraft
284,,0.0,0.0,4.36463176742758,4.36463176742758,spacecraft
285,,0.0,0.0,3.591899979008229,3.591899979008229,spacecraft
286,,0.0,0.0,4.01198588931367,4.01198588931367,spacecraft
287,,0.0,0.0,4.034004550478783,4.034004550478783,spacecraft
288,,0.0,0.0,3.671605940462321,3.671605940462321,spacecraft
289,3.497202527569243e-15,0.0,0.0,4.876144440408236,4.8617491906473855,spacecraft
290,3.3306690738754696e-15,0.0,0.0,5.033653344008273,5.006228238388024,spacecraft
291,,0.0,0.0,4.169663978185353,4.169663978185353,spacecraft
292,,0.0,0.0,3.9601298704533248,3.9601298704533248,spacecraft
293,,0.0,0.0,4.136900469193572,4.136900469193572,spacecraft
294,,0.0,0.0,3.667110412696758,3.667110412696758,spacecraft
295,2.664535259100376e-15,0.0,0.0,4.982574298943273,4.959846636199484,spacecraft
296,,0.0,0.0,4.12420836096292,4.12420836096292,spacecraft
297,3.885780586188048e-15,0.0,0.0,4.742957413285922,4.735974859443561,spacecraft
298,2.886579864025407e-15,0.0,0.0,4.837093848944514,4.823425958579527,spacecraft
299,3.1641356201816957e-15,0.0,0.0,4.724864296844846,4.720989757450066,spacecraft
300,,0.0,0.0,4.454570819993619,4.454570819993619,spacecraft
301,,0.0,0.0,4.384720588413796,4.384720588413796,spacecraft
302,,0.0,0.0,4.169994930939995,4.169994930939995,spacecraft
303,2.220446049250313e-15,0.0,0.0,4.825068810045313,4.819646544108297,spacecraft
304,3.386180225106728e-15,0.0,0.0,4.800063825443379,4.790563002538831,spacecraft
305,,0.0,0.0,4.298508220999301,4.298508220999301,spacecraft
306,,0.0,0.0,4.349021116494405,4.349021116494405,spacecraft
307,2.7755575615628917e-15,0.0,0.0,4.939487052060474,4.917547118787592,spacecraft
308,,0.0,0.0,4.013399681715232,4.013399681715232,spacecraft
309,,0.0,0.0,4.60237256940624,4.60237256940624,spacecraft
310,,0.0,0.0,4.164341409808001,4.164341409808001,spacecraft
311,,0.0,0.0,4.555281246170475,4.555281246170475,spacecraft
312,3.6637359812630166e-15,0.0,0.0,4.850448519275707,4.835915677861209,spacecraft
313,,0.0,0.0,3.4678412093744693,3.4678412093744693,spacecraft
314,,0.0,0.0,4.6679649396416885,4.6679649396416885,spacecraft
315,4.163336342344337e-15,0.0,0.0,4.871918309860385,4.854280988425101,spacecraft
316,,0.0,0.0,4.071391411557709,4.071391411557709,spacecraft
317,,0.0,0.0,4.464227781832305,4.464227781832305,spacecraft
318,,0.0,0.0,4.522235060343755,4.522235060343755,spacecraft
319,,0.0,0.0,3.859212822315328,3.859212822315328,spacecraft
320,,0.0,0.0,4.506694581203454,4.506694581203454,spacecraft
321,,0.0,0.0,4.495816297160596,4.495816297160596,spacecraft
322,2.886579864025407e-15,0.0,0.0,4.747326645304362,4.740914989295442,spacecraft
323,,0.0,0.0,4.330563457016716,4.330563457016716,spacecraft
324,2.55351295663786e-15,0.0,0.0,4.79582506479708,4.789840103180134,spacecraft
325,,0.0,0.0,3.918414598342961,3.918414598342961,spacecraft
326,,0.0,0.0,4.608220282490896,4.608220282490896,spacecraft
327,2.55351295663786e-15,0.0,0.0,4.73185376782791,4.729618628764558,spacecraft
328,,0.0,0.0,4.15762735062059,4.15762735062059,spacecraft
329,,0.0,0.0,4.503585990927522,4.503585990927522,spacecraft
330,,0.0,0.0,3.6996881477816816,3.6996881477816816,spacecraft
331,2.275957200481571e-15,0.0,0.0,4.8182950337404975,4.81283738790171,spacecraft
